Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Success,2430,2531,1875,13,52,293,480,10
Invalid,2793,2370,2400,13,50,289,535,10
Regression,2749,2248,1643,13,52,291,311,10
Invalid,2149,2224,1723,13,50,285,558,10
Success,2153,1761,1660,13,0,0,0,11
Invalid,2300,2331,1830,13,0,0,0,11
Success,2069,2409,1678,13,50,285,565,10
Regression,2663,2203,1660,14,52,287,309,10
Success,2132,2085,1802,13,0,0,0,11
Success,2102,2444,1554,13,50,333,579,10
Regression,2501,2257,1886,13,59,341,485,10
Invalid,2271,2411,1717,13,52,287,479,10
Success,2339,2079,1684,13,52,289,501,10
Regression,2857,2262,1650,13,52,285,310,10
Regression,3242,2159,2272,13,50,287,547,10
Success,2122,2295,1682,13,50,333,479,10
Success,2274,2140,1806,13,59,317,534,10
Success,2258,2104,1728,13,59,317,473,10
Success,2151,2332,1607,13,50,293,527,10
Invalid,1083,1415,1248,7,36,184,218,7
Regression,2638,2171,1612,14,52,287,318,10
Invalid,2183,2506,1630,13,50,327,483,10
Success,2232,2177,1641,13,52,285,491,10
Invalid,1924,2269,1281,13,52,287,483,10
Success,2280,1951,1722,13,50,289,514,10
Regression,2852,2384,1702,14,52,289,311,10
Success,2293,1920,1695,13,59,321,507,10
Regression,3975,2033,3212,13,52,287,510,10
Regression,2701,2176,1597,13,52,287,313,10
Success,2164,1998,1620,13,50,289,533,10
Invalid,2273,2424,1640,13,50,287,538,10
Regression,2601,2126,1817,13,59,317,511,10
Invalid,2312,2232,1675,13,54,317,494,10
Invalid,2354,2011,1742,13,52,289,512,10
Success,2292,2472,1671,13,59,315,511,10
Success,2134,2041,1736,13,50,287,516,10
Regression,3092,1037,2902,8,23,122,124,6
Invalid,2208,2214,1621,13,52,289,493,10
Success,2205,1970,1635,13,50,287,509,10
Success,2098,2233,1783,13,59,318,490,10
Regression,3090,1872,3144,12,49,285,366,10
Regression,2777,2158,1567,13,52,285,306,10
Success,2112,2490,1757,13,59,316,460,10
Regression,3350,3587,1671,13,52,293,1613,10
Success,2181,1962,1660,13,50,285,502,10
Success,2386,2325,1781,13,52,293,491,10
Regression,4636,8424,1734,13,73,542,577,10
Invalid,2336,2190,1878,13,50,289,519,10
Success,2224,2258,1731,13,52,289,528,10
Regression,3124,1927,3342,12,49,281,375,10
Success,2330,2115,1546,13,52,287,536,10
Regression,2583,2225,1596,13,52,291,351,10
Success,2141,2172,1584,13,59,321,522,10
Success,2367,2302,1772,13,50,327,485,10
Regression,4483,8164,1698,13,73,544,570,10
Success,2186,2181,1722,13,50,287,522,10
Regression,3264,2218,3036,14,58,290,498,11
Success,2269,2044,1882,13,50,285,511,10
Success,2146,2342,1563,13,59,317,484,10
Invalid,2327,2014,1831,13,50,289,519,10
Regression,2572,1998,1889,13,59,317,471,10
Regression,2536,2293,1625,13,52,289,311,10
Invalid,2147,2344,1856,13,0,0,0,11
Success,2169,2195,1667,13,50,289,542,10
Regression,2700,2274,1635,13,52,287,294,10
